playerId,day,timeOfDay,gameTitle,timeOnDevice,netWin,coinIn,ageGroup,distance,handlePulls
081,2025-04-22,16:33:42,Mystic Quest 1,850,4.14,77.42,65+,23.35,15
003,2025-05-12,23:25:53,Mystic Quest 1,2045,-702.65,1428.1,35-44,29.5,92
035,2025-04-26,01:05:44,Mystic Quest 1,1012,4.9,33.95,45-54,95.82,31
028,2025-04-23,00:39:16,Mystic Quest 1,1895,185.89,1287.38,35-44,5.26,110
094,2025-04-22,12:49:22,Mystic Quest 1,94,357.12,1275.52,25-34,5.23,19
086,2025-05-12,19:05:03,Mystic Quest 1,617,5.69,28.86,65+,93.18,15
069,2025-04-21,09:48:14,Mystic Quest 1,1174,13.11,91.35,35-44,6.3,24
075,2025-04-21,05:14:06,Mystic Quest 1,2642,148.72,1237.16,35-44,1.07,91
027,2025-04-26,07:20:28,Mystic Quest 1,826,0.78,34.3,65+,2.61,22
064,2025-05-08,00:19:11,Mystic Quest 1,572,20.21,69.97,25-34,3.02,17
003,2025-05-06,01:23:18,Mystic Quest 2,2811,111.05,1271.44,25-34,3.62,97
025,2025-05-11,09:20:36,Mystic Quest 1,874,27.81,138.47,25-34,91.35,45
083,2025-05-06,09:08:25,Mystic Quest 1,2497,73.64,1149.88,25-34,35.84,103
053,2025-04-26,11:51:45,Mystic Quest 1,2735,177.47,1108.38,25-34,93.67,104
057,2025-05-07,23:58:04,Mystic Quest 1,252,-28.76,75.48,25-34,20.02,45
035,2025-05-14,18:52:33,Mystic Quest 2,1096,3.27,29.23,45-54,23.63,12
000,2025-05-13,16:41:22,Mystic Quest 1,162,209.51,1118.57,25-34,55.72,25
020,2025-05-11,08:21:28,Mystic Quest 1,590,4.7,85.2,35-44,85.9,11
054,2025-04-29,07:24:14,Mystic Quest 1,285,310.2,1191.75,25-34,36.65,50
035,2025-04-23,08:38:15,Mystic Quest 1,1152,6.19,15.65,25-34,21.48,18
027,2025-05-19,20:02:03,Mystic Quest 2,332,3.93,43.22,55-64,6.84,17
097,2025-04-29,10:38:45,Mystic Quest 1,517,14.38,70.51,25-34,50.6,19
013,2025-04-21,06:48:08,Mystic Quest 1,906,3.0,23.39,35-44,20.57,20
048,2025-04-22,07:04:11,Mystic Quest 1,2118,217.43,1251.3,18-24,31.13,100
045,2025-05-16,11:46:59,Mystic Quest 1,1038,6.6,22.6,25-34,7.09,17
044,2025-05-08,14:14:05,Mystic Quest 1,1123,10.59,64.84,65+,16.1,22
033,2025-05-14,01:41:02,Mystic Quest 1,3500,94.57,1387.56,18-24,25.97,93
005,2025-05-12,21:05:48,Mystic Quest 1,2255,290.89,992.07,25-34,8.8,110
058,2025-05-06,01:19:53,Mystic Quest 1,287,-32.89,1401.09,25-34,31.99,51
015,2025-05-01,12:35:08,Mystic Quest 1,278,146.11,1346.17,25-34,55.88,105
010,2025-05-06,22:11:22,Mystic Quest 1,638,17.86,87.82,25-34,49.17,21
037,2025-05-15,10:44:07,Mystic Quest 1,286,292.79,1363.37,45-54,25.89,47
080,2025-05-08,11:36:16,Mystic Quest 1,93,259.32,1457.44,35-44,7.91,80
046,2025-05-07,12:46:25,Mystic Quest 1,1905,312.6,1435.57,45-54,87.05,103
024,2025-05-11,23:53:04,Mystic Quest 1,798,18.26,70.14,65+,3.7,31
008,2025-04-20,16:02:27,Mystic Quest 1,194,383.78,1284.41,35-44,2.97,111
084,2025-05-13,16:51:37,Mystic Quest 1,2701,275.24,1014.49,25-34,87.71,92
037,2025-04-21,08:40:47,Mystic Quest 2,128,50.48,366.71,65+,4.36,49
029,2025-05-16,17:09:08,Mystic Quest 1,71,281.8,1135.23,18-24,3.49,48
012,2025-05-01,01:39:23,Mystic Quest 1,234,136.21,1351.02,25-34,5.96,16
035,2025-05-03,21:26:06,Mystic Quest 2,697,2.23,60.25,18-24,34.18,18
081,2025-05-15,08:07:45,Mystic Quest 2,901,-17.26,41.05,55-64,5.85,23
046,2025-04-24,08:46:23,Mystic Quest 2,101,163.43,1145.3,45-54,6.16,119
047,2025-04-30,15:12:23,Mystic Quest 1,3145,22.39,1195.39,45-54,6.51,98
026,2025-05-10,16:54:54,Mystic Quest 1,581,6.13,87.05,25-34,6.03,21
034,2025-05-11,03:29:01,Mystic Quest 1,318,3.9,57.14,25-34,95.23,14
087,2025-05-09,01:08:54,Mystic Quest 1,758,25.73,246.78,25-34,24.65,54
009,2025-05-08,02:58:40,Mystic Quest 1,1049,-7.43,72.13,55-64,23.83,19
081,2025-04-24,15:28:40,Mystic Quest 1,620,8.72,68.43,35-44,22.34,25
068,2025-05-12,17:13:29,Mystic Quest 1,115,237.39,1338.12,25-34,82.23,112
031,2025-04-24,17:01:19,Mystic Quest 1,2918,261.65,1022.79,25-34,18.43,89
059,2025-05-01,17:48:07,Mystic Quest 1,825,24.59,154.68,45-54,6.26,42
034,2025-05-18,05:58:43,Mystic Quest 2,1085,5.36,38.14,35-44,44.36,26
081,2025-05-11,12:11:18,Mystic Quest 2,993,11.72,90.1,35-44,88.38,18
071,2025-04-26,01:46:16,Mystic Quest 1,465,-7.24,90.62,65+,6.34,25
087,2025-04-29,20:58:58,Mystic Quest 2,529,78.47,284.3,45-54,33.83,46
098,2025-05-13,14:45:56,Mystic Quest 1,483,7.55,64.82,35-44,22.25,27
007,2025-04-26,08:44:34,Mystic Quest 1,486,19.23,78.36,35-44,3.97,18
004,2025-05-14,20:43:31,Mystic Quest 1,190,118.5,1352.54,35-44,6.59,20
040,2025-05-01,04:34:46,Mystic Quest 1,892,10.65,80.23,25-34,94.63,21
034,2025-04-21,06:09:23,Mystic Quest 1,471,0.62,54.05,55-64,4.86,26
027,2025-05-18,15:00:43,Mystic Quest 1,551,7.39,31.18,55-64,3.88,16
072,2025-05-17,16:11:05,Mystic Quest 1,633,0.46,27.56,25-34,3.0,23
091,2025-04-29,01:26:59,Mystic Quest 1,172,98.42,1274.83,25-34,1.02,23
027,2025-05-09,18:09:37,Mystic Quest 2,903,-15.84,85.69,25-34,87.11,23
063,2025-05-01,20:38:29,Mystic Quest 1,637,-17.96,40.14,25-34,17.12,17
082,2025-04-23,18:45:02,Mystic Quest 1,2000,-74.8,1043.65,35-44,92.24,106
033,2025-04-23,09:19:24,Mystic Quest 2,2881,143.53,934.73,55-64,5.35,102
031,2025-05-12,22:59:58,Mystic Quest 2,1979,354.15,937.5,25-34,26.18,104
071,2025-05-06,08:47:10,Mystic Quest 2,205,23.11,1867.52,35-44,21.49,11
033,2025-05-12,00:14:44,Mystic Quest 1,3030,104.15,773.74,35-44,93.18,91
074,2025-05-02,00:19:39,Mystic Quest 1,316,6.61,53.97,35-44,24.61,17
074,2025-05-01,11:46:07,Mystic Quest 2,408,7.79,27.27,35-44,2.22,14
046,2025-04-23,15:14:42,Mystic Quest 1,2133,309.91,777.62,55-64,89.03,96
065,2025-04-21,03:55:28,Mystic Quest 1,2487,6.12,1306.35,25-34,43.11,95
096,2025-04-20,11:33:25,Mystic Quest 1,128,175.09,1044.99,25-34,83.28,26
014,2025-04-23,13:08:50,Mystic Quest 1,1147,13.35,45.22,25-34,91.42,20
080,2025-04-24,16:46:45,Mystic Quest 2,2650,272.08,857.41,55-64,2.28,100
087,2025-05-02,10:05:22,Mystic Quest 1,134,99.02,1104.73,25-34,3.47,50
076,2025-04-21,17:26:17,Mystic Quest 1,228,12.0,96.0,25-34,26.69,59
049,2025-05-01,13:13:56,Mystic Quest 1,586,2.32,47.22,55-64,4.87,23
076,2025-05-03,22:30:36,Mystic Quest 2,944,13.96,272.41,35-44,19.41,53
067,2025-04-27,18:37:00,Mystic Quest 1,256,350.93,1247.47,25-34,31.61,30
070,2025-05-16,07:39:29,Mystic Quest 1,271,103.26,391.44,65+,21.27,51
001,2025-05-12,01:34:34,Mystic Quest 1,2260,223.91,950.98,65+,27.37,94
014,2025-05-10,16:09:30,Mystic Quest 2,865,0.14,35.93,35-44,82.87,21
068,2025-05-13,13:28:52,Mystic Quest 2,2750,281.04,840.49,55-64,0.0,93
034,2025-05-13,09:50:44,Mystic Quest 2,1058,1.7,77.57,25-34,85.14,18
082,2025-04-29,22:35:30,Mystic Quest 2,3037,137.63,1149.98,25-34,6.47,111
014,2025-04-28,04:57:39,Mystic Quest 1,778,1.63,42.78,55-64,24.13,14
055,2025-04-24,01:35:26,Mystic Quest 1,777,-188.3,416.43,18-24,5.23,45
058,2025-04-19,21:39:14,Mystic Quest 2,689,22.41,363.49,25-34,85.63,50
092,2025-05-12,04:41:53,Mystic Quest 1,2620,185.19,903.35,45-54,24.09,74
033,2025-05-05,22:10:47,Mystic Quest 2,2495,208.7,783.17,35-44,36.42,88
097,2025-04-24,18:39:01,Mystic Quest 2,1063,8.62,33.12,45-54,5.25,14
